,0
1894,H2OG
1895,5MTH
1896,3ZPX
1897,9KQG
1898,AI9W
1899,AY5P
1900,TV06
1901,V7JE
1902,K6ZB
1903,4YTL
1904,R9WC
1905,K6O6
1906,QRUZ
1907,4VDJ
1908,Q545
1909,3PBO
1910,KTSF
1911,LKXL
1912,THV8
1913,7RBF
1914,HK5N
1915,OG6D
1916,O96O
1917,CPUZ
1918,88FY
1919,3XX8
1920,OEUA
1921,PFZJ
1922,VTVJ
1923,PMRJ
1924,EN65
1925,07S4
1926,A8RG
1927,4Q27
1928,NNLC
1929,HF2Q
1930,RK9P
1931,A5F3
1932,0UK4
1933,BBLE
1934,7OJ6
1935,4Q19
1936,GQOC
1937,9TYT
1938,4DB8
1939,LZHQ
1940,DHP0
1941,2UQB
1942,5YSG
1943,HUR3
1944,UIBF
1945,BUVF
1946,RCA8
1947,2RI1
1948,6K8X
1949,M5XM
1950,VIMQ
1951,G34U
1952,MWNU
1953,7K7E
1954,WZH3
1955,66NS
1956,FERY
1957,247Q
1958,N2C9
1959,TQ8U
1960,LIVZ
1961,N3JD
1962,3CKV
1963,U8CP
1964,59LT
1965,1BGX
1966,VQNV
1967,NURG
1968,OAHD
1969,929J
1970,IZQS
1971,TS61
1972,BGMU
1973,GKLV
1974,9D78
1975,NTAF
1976,J40T
1977,70JQ
1978,6X89
1979,ZGIT
1980,BC9D
1981,OQHM
1982,6B0I
1983,QXKT
1984,90QM
1985,4OF5
1986,4CN7
1987,W6I5
1988,11LZ
1989,R5JE
1990,PXNA
1991,C0K1
1992,IFXY
1993,9D9Q
1994,JCFS
1995,L7J6
1996,3AVE
1997,J80Z
1998,OYVI
